Specialties,Doctor Name,Location
Dentist,Dr. Rajendra Bane,"Vasai West, Ambadi,Ambadi Rd,Ambadi road"
Dentist,Dr. Shivanand Shetty,"Vasai West, Ambadi,Ambadi Rd,Ambadi road"
Dentist,Dr. Meera D Hegde,Vasai West
Dentist,Dr. Shikha Goyal,Vasai West
Dentist,Dr. Kentan B.Kalani,Dombivli East
Dentist,Dr. Parag Kasar,Dombivli East
Dentist,Dr. Nikita Narayana,Dombivli East
Dentist,Dr. Harsh Shah,Dombivli East
"Urologist,Kidney",Dr. Nikhil Kale,"Vasai West,Naupada"
"Urologist,Kidney",Dr. Devendra Patil,"Vasai West,Manickpur"
"Urologist,Kidney",Dr. Lokesh Sinha,Dombivli East
"Urologist,Kidney",Dr. Devendra Patil,"Vasai West,Manickpur"
"Oncologist,Cancer",Dr. Atul Narayankar,"Vasai West,Kailash Nagar"
"Oncologist,Cancer,Surgical Oncologist",Dr. ASachin Kadam,Vasai West
"Oncologist,Cancer,Radiptherapy",Dr. Rohit Kabre,Vasai West
"Gynecologist,Infertility Specialist,Obstetrician",Dr. Madhuri Mankar,"Dombivli East"
"Infertility Specialist,Laparoscopic Surgeon (Obs & Gyn),Gynecologist,Obstetrician",Dr. Manik R Kale,Dombivli East
"Gynecologist,Obstetrician",Dr. Amita Marathe,"Vasai West,Parnaka"
Gynecologist,Dr. Ashvini Santosh Pawar,"Vasai West, Anand Nagar"
Gynecologist,Dr. Prerna More Patil,"Vasai West, Gokhivare"
"Neurologist, Brain",Dr. Kavita Barhate,"Dombivli East"
"Neurologist, Brain",Dr. Sweety Mety,"Vasai West, Ambadi Road"
"Neurologist, Brain",Dr. Vindo Rambal,"Vasai East,Evershine City,Evershine"
"ENT,ear,nose,throat,Otorhinolaryngologist",Dr. Vinod Menon,Vasai West
"ENT,ear,nose,throat,Otorhinolaryngologist",Dr. Sangamlal B Pal,"Vasai East, Evershine"
"ENT,ear,nose,throat,Otorhinolaryngologist",Dr. Mayuresh Akole,Dombivli East
"Ophthalmologist,Eye Surgeon,eye",Dr. Vidhan Doshi,"Vasai West,Parnaka"
"Ophthalmologist,Eye Surgeon,eye",Dr. Jayesh Gharat,Vasai West









